,10,15,20,25,30,35,40,,,45,50,,,55,60,,,65,70,,,75,85,95,100
750,,,,,,,,,,,,,,,,,,,,,,,,,
1000,,,,,,,1.07014,65.30000,69.87986,,,,,,,,,,,,,,,,
1125,,,,,,,,,,,,,,,,,,,,,,,,,
1250,,,,,,,,,,,,,,,,,,,,,,,,,
1500,,,,,1.07422,,1.07822,78.10000,84.20936,,1.03486,83.00000,85.89325,,1.07505,84.10000,90.41201,,1.10401,85.50000,94.39262,,,,
1750,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,0.84747,,0.88503,,1.03990,85.50000,88.91107,,0.98375,85.20000,83.81557,,0.95709,82.30000,78.76880,,,,,,,,
2250,,,,,,,,,,,,,,,,,,,,,,,,,
2500,,,0.84078,,1.01843,,0.99422,91.80000,91.26921,,0.98260,89.80000,88.23718,,0.96976,83.90000,81.36290,,0.96204,83.00000,79.84940,,,,
2750,,,,,,,,,,,,,,,,,,,,,,,,,
3000,,,0.80842,,1.01113,,1.01077,108.40000,109.56729,,1.01514,112.10000,113.79747,,1.00177,108.60000,108.79254,,1.00410,109.60000,110.04956,,,,
3500,,,0.83675,,1.01892,,1.02373,120.30000,123.15416,,1.03070,122.60000,126.36327,,1.01459,127.10000,128.95474,,1.01834,125.50000,127.80145,,,,
4000,,,0.93051,,1.06495,,1.02952,125.70000,129.41115,,0.97442,125.50000,122.28975,,0.95929,122.40000,117.41685,,1.00051,121.90000,121.96177,,,,
4500,,,,,0.91185,,0.98100,121.30000,118.99535,,0.94744,120.20000,113.88271,,0.91925,113.80000,104.61111,,0.91906,113.90000,104.68136,,,,
5000,,,,,,,,,,,,,,,,,,,,,,,,,
5500,,,,,,,,,,,,,,,,,,,,,,,,,
