Time,WBO2 F,WBO2 R,ET,WBO2 F,WBO2 R,MAP,B+,RPM,TP,Set Lambda,Spark Knock F,Spark Knock R,VE Front,VE Rear ,Lambda1,Lambda2,IAT,Idle Set,IAC,Advance F,Advance R,INJ PW F,INJ PW R,VSS,TP Sensor,Twist Pos,SWL(hex)
61,0.89,0.904,162,13,13.2,35.02,13.9,1046,5,0.979,0,0,67.5,73.5,,,104,1032,41,19.5,19.5,3.67,3.64,0,0.72,0,269
331,0.87,0.842,162,12.7,12.3,36.5,13.9,1001,5,0.979,0,0,68,74,,,104,1032,41,22.5,22.5,3.79,3.8,0,0.72,0,269
409,0.87,0.842,162,12.7,12.3,36.13,13.9,1029,4,0.979,0,0,68,74,,,104,1032,41,21,21,3.83,3.78,0,0.7,0,269
490,0.884,0.849,162,12.9,12.4,35.02,13.8,1048,5,0.979,0,0,67.5,73.5,,,104,1032,41,19.5,19.5,3.66,3.72,0,0.72,0,269
568,0.884,0.849,162,12.9,12.4,35.39,13.9,1035,4,0.979,0,0,67.5,73.5,,,104,1032,41,19.5,19.5,3.66,3.71,0,0.72,0,269
650,0.877,0.849,162,12.8,12.4,35.39,13.9,1050,4,0.979,0,0,67.5,73.5,,,104,1032,41,19.5,19.5,3.71,3.67,0,0.7,0,269
740,0.884,0.836,162,12.9,12.2,33.92,13.9,1076,4,0.95,0,0,68,74,,,104,1032,41,17,17,3.7,3.7,0,0.7,0,269
830,0.877,0.849,162,12.8,12.4,35.76,13.9,1037,4,0.979,0,0,67.5,73.5,,,104,1032,41,19.5,19.5,3.76,3.66,0,0.7,0,269
908,0.877,0.856,162,12.8,12.5,35.39,13.9,1025,4,0.979,0,0,68,73.5,,,104,1032,41,21,21,3.79,3.74,0,0.7,0,269
990,0.884,0.836,162,12.9,12.2,35.02,13.9,1051,4,0.979,0,0,67.5,73.5,,,104,1032,41,19.5,19.5,3.68,3.7,0,0.7,0,269
1068,0.884,0.829,162,12.9,12.1,34.28,13.9,1067,4,0.95,0,0,67.5,73.5,,,104,1032,41,17.5,17.5,3.7,3.72,0,0.72,0,269
1150,0.884,0.836,162,12.9,12.2,35.02,13.9,1058,4,0.979,0,0,67.5,73.5,,,104,1032,41,18,18,3.66,3.76,0,0.7,0,269
1228,0.877,0.849,162,12.8,12.4,35.02,13.9,1060,4,0.979,0,0,67.5,73.5,,,104,1032,41,18,18,3.68,3.6,0,0.7,0,269
1318,0.877,0.842,162,12.8,12.3,33.92,13.9,1065,4,0.95,0,0,67.5,73.5,,,104,1032,41,17.5,17.5,3.69,3.7,0,0.72,0,269
1400,0.877,0.836,162,12.8,12.2,35.02,13.9,1039,5,0.979,0,0,67.5,73.5,,,104,1032,41,18.5,18.5,3.68,3.62,0,0.72,0,269
1478,0.877,0.842,162,12.8,12.3,35.02,13.9,1025,4,0.979,0,0,68,74,,,104,1032,41,20.5,20.5,3.71,3.75,0,0.7,0,269
1568,0.877,0.849,162,12.8,12.4,35.02,13.9,1034,4,0.979,0,0,67.5,73.5,,,104,1032,41,20.5,20.5,3.7,3.73,0,0.7,0,269
1650,0.87,0.849,162,12.7,12.4,35.02,13.9,1053,4,0.979,0,0,67.5,73.5,,,104,1032,41,18.5,18.5,3.66,3.73,0,0.7,0,269
1727,0.87,0.842,162,12.7,12.3,34.65,13.9,1048,4,0.979,0,0,67.5,73.5,,,104,1032,41,18,18,3.65,3.6,0,0.72,0,269
1809,0.877,0.842,162,12.8,12.3,35.02,13.9,1022,4,0.979,0,0,68,74,,,104,1032,41,20.5,20.5,3.71,3.77,0,0.7,0,269
1887,0.877,0.842,162,12.8,12.3,35.76,13.9,1031,4,0.979,0,0,68,73.5,,,104,1032,41,21,21,3.77,3.75,0,0.7,0,269
1969,0.884,0.849,162,12.9,12.4,34.28,13.9,1061,4,0.979,0,0,68,73.5,,,104,1032,41,18,18,3.63,3.66,0,0.7,0,269
2059,0.884,0.89,162,12.9,13,35.76,13.9,1044,5,0.979,0,0,68,73.5,,,104,1032,41,18.5,18.5,3.63,3.76,0,0.72,1.56,269
2157,0.897,0.897,162,13.1,13.1,53.84,13.9,1113,9,0.952,0,0,69.5,73,,,104,1032,41,17.5,19,5.95,7.83,0,0.88,5.08,269
2248,0.911,0.897,162,13.3,13.1,32.44,13.9,1109,4,0.95,0,0,68,72.5,,,104,1032,41,20,20,4.28,4.62,0,0.7,0,269
2330,0.89,0.918,162,13,13.4,33.18,13.9,1158,4,0.953,0,0,67.5,75,,,104,1032,41,19.5,20,4.34,4.06,0,0.7,0,269
2407,0.911,0.925,162,13.3,13.5,34.65,13.9,1092,4,0.95,0,0,67.5,73.5,,,104,1032,41,20,20,4.16,3.89,0,0.7,0,269
2489,0.904,0.87,162,13.2,12.7,33.55,13.9,1098,4,0.95,0,0,67.5,73.5,,,104,1032,41,20,20,3.99,3.81,0,0.7,0,269
2567,0.863,0.842,162,12.6,12.3,32.81,13.9,1082,4,0.95,0,0,68,74,,,104,1032,41,20,20,3.75,3.64,0,0.72,0,269
2657,0.842,0.849,162,12.3,12.4,36.13,13.9,1035,4,0.979,0,0,67.5,73.5,,,104,1032,41,20,20,3.86,3.72,0,0.7,0,269
2740,0.836,0.822,163,12.2,12,33.92,13.9,1069,4,0.95,0,0,67.5,73.5,,,104,1032,41,20,20,3.66,3.64,0,0.7,0,269
2818,0.829,0.788,163,12.1,11.5,33.18,13.9,1089,4,0.95,0,0,68,74,,,104,1032,41,20,20,3.62,3.61,0,0.7,0,269
2900,0.822,0.788,163,12,11.5,33.92,13.9,1061,4,0.95,0,0,67.5,73.5,,,104,1032,41,20,20,3.69,3.65,0,0.72,0,269
2978,0.829,0.822,163,12.1,12,33.92,13.9,1094,4,0.95,0,0,67.5,73.5,,,104,1032,41,20,20,3.69,3.78,0,0.7,0,269
3068,0.829,0.836,163,12.1,12.2,31.7,13.9,1141,4,0.952,0,0,68.5,73.5,,,104,1032,41,20,20,3.5,3.49,0,0.7,0,269
3158,0.849,0.856,163,12.4,12.5,35.02,13.9,1082,4,0.95,0,0,68.5,74.5,,,104,1032,41,20,20,3.56,3.75,0,0.7,0,269
3228,0.856,0.877,163,12.5,12.8,35.76,13.8,1050,4,0.979,0,0,67.5,73.5,,,104,1032,41,20,20,3.88,3.77,0,0.7,0,269
3310,0.884,0.863,163,12.9,12.6,33.55,13.9,1090,4,0.95,0,0,68,74,,,104,1032,41,20,20,3.65,3.77,0,0.7,0,269
3387,0.877,0.829,163,12.8,12.1,33.18,13.9,1109,4,0.952,0,0,67.5,74,,,104,1032,41,20,20,3.57,3.59,0,0.7,0,269
3469,0.877,0.822,163,12.8,12,32.81,13.9,1121,5,0.95,0,0,68,74.5,,,104,1032,41,20,20,3.56,3.59,0,0.72,0,269
3551,0.863,0.822,163,12.6,12,33.55,13.9,1073,4,0.95,0,0,68,74,,,104,1032,41,20,20,3.65,3.65,0,0.7,0,269
3629,0.863,0.884,163,12.6,12.9,34.65,13.9,1071,4,0.95,0,0,67.5,73.5,,,104,1032,41,20,20,3.76,3.82,0,0.7,0,269
3711,0.863,0.877,163,12.6,12.8,33.55,13.8,1084,4,0.95,0,0,67.5,73.5,,,104,1032,41,20,20,3.76,3.55,0,0.72,0,269
3789,0.877,0.863,163,12.8,12.6,34.65,13.8,1012,4,0.979,0,0,67.5,74,,,104,1032,41,20,20,3.75,3.66,0,0.7,0,269
3871,0.87,0.904,163,12.7,13.2,37.24,13.8,1006,4,0.979,0,0,68.5,74,,,104,1032,41,22.5,22.5,3.97,3.93,0,0.72,0,269
3949,0.87,0.897,163,12.7,13.1,35.02,13.9,1049,4,0.979,0,0,68,73.5,,,104,1032,41,20,20,3.94,3.73,0,0.7,0,269
4038,0.884,0.911,163,12.9,13.3,35.02,13.9,1033,4,0.979,0,0,67.5,73.5,,,104,1032,41,20,20,3.67,3.8,0,0.72,0,269
4120,0.89,0.911,163,13,13.3,35.76,13.8,1053,4,0.979,0,0,67.5,73.5,,,104,1032,41,20,20,3.74,3.76,0,0.7,0,269
4198,0.904,0.904,163,13.2,13.2,33.92,13.8,1068,4,0.95,0,0,67.5,73.5,,,104,1032,41,17.5,17.5,3.68,3.7,0,0.7,0,269
4288,0.89,0.918,163,13,13.4,35.76,13.8,1033,4,0.979,0,0,68,74,,,104,1032,41,18.5,18.5,3.6,3.75,0,0.7,0,269
4370,0.884,0.918,163,12.9,13.4,35.76,13.8,1042,5,0.979,0,0,68,73.5,,,105.8,1032,41,20,20,3.8,3.76,0,0.72,0,269
4448,0.884,0.89,163,12.9,13,33.92,13.8,1050,4,0.979,0,0,68,74,,,105.8,1032,41,18,18,3.61,3.62,0,0.7,0,269
4530,0.884,0.904,163,12.9,13.2,36.5,13.8,1005,4,0.979,0,0,68.5,74,,,104,1032,41,21.5,20.5,3.88,3.85,0,0.7,0,269
4608,0.877,0.904,163,12.8,13.2,37.24,13.8,1013,4,0.979,0,0,68.5,74,,,105.8,1032,41,22.5,23,3.96,3.92,0,0.72,0,269
4710,0.884,0.877,163,12.9,12.8,35.02,13.8,1034,4,0.979,0,0,68,73.5,,,105.8,1032,41,20.5,20.5,3.7,3.73,0,0.7,0,269
4788,0.877,0.849,163,12.8,12.4,35.02,13.8,1042,4,0.979,0,0,67.5,73.5,,,105.8,1032,41,20,20,3.66,3.74,0,0.7,0,269
4870,0.877,0.849,163,12.8,12.4,33.92,13.8,1061,4,0.979,0,0,67.5,73.5,,,105.8,1032,41,18.5,18.5,3.66,3.58,0,0.72,0,269
4956,0.863,0.829,163,12.6,12.1,33.92,13.8,1055,4,0.979,0,0,68,74,,,105.8,1032,41,18.5,18.5,3.58,3.6,0,0.7,0,269
5038,0.863,0.849,163,12.6,12.4,34.65,13.8,1074,4,0.95,0,0,67.5,73.5,,,105.8,1032,41,18,18,3.63,3.74,0,0.7,0,269
5120,0.87,0.842,163,12.7,12.3,33.55,13.8,1068,4,0.95,0,0,68,73.5,,,105.8,1032,41,17,17,3.66,3.61,0,0.7,0,269
5198,0.87,0.829,163,12.7,12.1,34.65,13.8,1043,4,0.979,0,0,68,74,,,105.8,1032,41,18.5,18.5,3.57,3.68,0,0.7,0,269
5280,0.87,0.829,163,12.7,12.1,35.39,13.8,1008,4,0.979,0,0,68,74,,,105.8,1032,41,20.5,21.5,3.75,3.77,0,0.7,0,269
5357,0.877,0.842,163,12.8,12.3,36.5,13.8,976,4,0.979,0,0,68.5,74,,,105.8,1032,41,23,24,3.9,3.82,0,0.72,0,269
5439,0.884,0.836,163,12.9,12.2,36.5,13.8,983,4,0.979,0,0,68.5,74,,,105.8,1032,41,24,24,4,4.06,0,0.7,0,269
5521,0.877,0.836,163,12.8,12.2,36.13,13.8,1011,4,0.979,0,0,68,74,,,105.8,1032,41,22.5,22.5,3.82,3.88,0,0.7,0,269
5599,0.884,0.836,163,12.9,12.2,36.13,13.8,1003,4,0.946,0,0,68,74,,,105.8,1032,41,22.5,22.5,3.97,4,0,0.7,0,269
5685,0.884,0.836,163,12.9,12.2,35.02,13.8,1039,4,0.948,0,0,68,73.5,,,105.8,1032,41,21,21,3.95,3.89,0,0.7,0,269
