"Dynojet Power Vision Log File"

"Format:","Simple CSV 1.0.0"

"Signal","Driver","ID","Name","Units","Description","Color"
0,"a-Harley","a:334","VE Front","%","VE Front","#330000"
1,"a-Harley","a:335","VE Rear ","%","VE Rear ","#000000"
2,"a-Harley","a:510","WBO2 F","lambda","WBO2 LAMBDA Front","#060006"
3,"a-Harley","a:511","WBO2 R","lambda","WBO2 LAMBDA Rear","#330000"
4,"a-Harley","a:339","VE New Front","%","VE New Front","#330033"
5,"a-Harley","a:340","VE New Rear","%","VE New Rear","#000000"
6,"a-Harley","a:92","B+","volts","Battery Voltage","#FFFFFF"
7,"a-Harley","a:101","RPM","rpm","Engine Speed","#FFFFFF"
8,"a-Harley","a:118","MAP","kpa","Manifold Absolute Pressure","#FFFFFF"
9,"a-Harley","a:126","TP","%","Throttle Position","#FFFFFF"
10,"a-Harley","a:102","ET","°F","Engine Temperature","#FFFFFF"
11,"a-Harley","a:341","Set Lambda","","Desired Air/Fuel (Lambda)","#FFFFFF"
12,"a-Harley","a:262","Spark Knock F","deg","Front Spark Knock Retard","#FFFFFF"
13,"a-Harley","a:263","Spark Knock R","deg","Rear Spark Knock Retard","#FFFFFF"
14,"b-DJWideband2","b:1","Lambda1","","Lambda 1","#FFFFFF"
15,"b-DJWideband2","b:2","Lambda2","","Lambda 2","#FFFFFF"
16,"a-Harley","a:110","IAT","°F","Intake Air Temperature","#FFFFFF"
17,"a-Harley","a:112","Idle Set","rpm","Idle Set Speed","#FFFFFF"
18,"a-Harley","a:109","IAC","steps","Idle Air Control Motor Position","#FFFFFF"
19,"a-Harley","a:89","Advance F","deg","Spark Advance Front","#FFFFFF"
20,"a-Harley","a:90","Advance R","deg","Spark Advance Rear","#FFFFFF"
21,"a-Harley","a:114","INJ PW F","ms","Injector Time Front","#FFFFFF"
22,"a-Harley","a:115","INJ PW R","ms","Injector Time Rear","#FFFFFF"
23,"a-Harley","a:128","VSS","mph","Vehicle Speed","#FFFFFF"
24,"a-Harley","a:127","TP Sensor","volts","Throttle Position Sensor","#FFFFFF"
25,"a-Harley","a:273","Twist Pos","%","Twistgrip Position","#FFFFFF"
26,"a-Harley","a:33","SWL(hex)","","Software Level","#FFFFFF"

"Time","VE Front","VE Rear ","WBO2 F","WBO2 R","VE New Front","VE New Rear","B+","RPM","MAP","TP","ET","Set Lambda","Spark Knock F","Spark Knock R","Lambda1","Lambda2","IAT","Idle Set","IAC","Advance F","Advance R","INJ PW F","INJ PW R","VSS","TP Sensor","Twist Pos","SWL(hex)",
"ms","%","%","lambda","lambda","%","%","volts","rpm","kpa","%","°F","","deg","deg","","","°F","rpm","steps","deg","deg","ms","ms","mph","volts","%","",
19,83.0,75.5,0.959,0.932,89.0,77.0,13.80,2620,21.37,6,160,0.892,0.00,0.00,,,107.60,1032,50.00,37.5,38.0,2.94,2.04,45.36,0.76,1.17,269
322,83.0,75.0,0.979,0.925,91.0,77.5,13.80,2589,21.74,6,160,0.892,0.00,0.00,,,107.60,1032,50.00,37.0,37.5,2.98,2.10,44.74,0.78,1.17,269
400,83.5,76.0,1.000,0.986,93.5,84.0,13.80,2646,21.37,6,160,0.892,0.00,0.00,,,109.40,1032,50.00,38.0,38.0,2.99,2.12,44.74,0.78,1.56,269
490,82.0,74.5,1.007,0.959,93.0,80.0,13.80,2578,22.48,7,160,0.892,0.00,0.00,,,109.40,1032,50.00,37.0,37.5,3.06,2.15,44.12,0.80,1.56,269
572,82.0,73.5,0.986,0.966,90.5,79.5,13.80,2629,23.22,7,160,0.892,0.00,0.00,,,109.40,1032,50.00,38.0,38.5,3.12,2.20,44.74,0.78,1.56,269
662,80.5,72.5,0.973,0.938,88.0,76.5,13.80,2592,23.22,7,160,0.892,0.00,0.00,,,109.40,1032,50.00,37.5,38.0,3.13,2.14,44.12,0.80,1.56,269
741,82.0,74.0,0.945,0.918,86.5,76.0,13.80,2589,22.48,7,160,0.892,0.00,0.00,,,109.40,1032,50.00,37.0,38.0,3.07,2.11,44.12,0.80,1.56,269
823,81.5,73.5,0.945,0.925,88.0,75.5,13.80,2581,22.85,7,160,0.892,0.00,0.00,,,109.40,1032,50.00,37.0,38.0,3.08,2.13,44.12,0.80,1.56,269
901,81.5,73.0,0.911,0.904,83.0,74.0,13.70,2574,23.22,7,160,0.892,0.00,0.00,,,109.40,1032,50.00,37.0,38.0,3.10,2.14,44.12,0.80,1.56,269
983,81.0,72.0,0.911,0.925,82.5,74.5,13.80,2604,23.58,7,160,0.892,0.00,0.00,,,109.40,1032,50.00,37.5,38.5,3.18,2.14,44.12,0.82,1.56,269
1060,81.0,72.5,0.945,0.932,84.0,75.5,13.70,2527,23.22,7,160,0.892,0.00,0.00,,,109.40,1032,50.00,36.0,37.5,3.11,2.14,43.50,0.80,1.56,269
1142,80.5,71.5,0.966,0.938,87.0,75.0,13.70,2551,24.32,7,160,0.892,0.00,0.00,,,109.40,1032,50.00,37.0,38.0,3.23,2.16,44.12,0.82,1.56,269
1220,81.0,72.5,0.986,0.932,89.5,79.5,13.70,2533,23.22,7,160,0.892,0.00,0.00,,,109.40,1032,50.00,36.5,37.5,3.11,2.19,43.50,0.82,2.34,269
1302,79.5,70.5,0.979,1.007,87.5,80.0,13.70,2539,25.06,8,160,0.892,0.00,0.00,,,109.40,1032,50.00,37.0,38.0,3.38,2.35,43.50,0.84,2.73,269
1380,80.0,70.5,0.973,0.925,86.5,73.0,13.70,2546,27.27,9,160,0.892,0.00,0.00,,,109.40,1032,50.00,37.0,38.0,3.85,2.62,43.50,0.90,3.52,269
1470,81.5,73.0,0.884,0.904,80.5,74.5,13.70,2571,29.86,10,160,0.892,0.00,0.00,,,109.40,1032,50.00,37.5,39.0,4.46,3.11,43.50,0.94,5.08,269
1552,83.0,75.5,0.822,0.904,76.5,76.5,13.70,2574,31.70,11,160,0.892,0.00,0.00,,,109.40,1032,50.00,37.0,39.0,4.90,3.37,43.50,0.98,5.86,269
1630,85.5,78.5,0.822,0.884,79.0,77.5,13.70,2640,33.92,12,160,0.892,0.00,0.00,,,109.40,1032,50.00,39.5,40.0,5.23,3.76,44.12,1.02,6.64,269
1712,86.0,78.5,0.815,0.863,78.5,76.0,13.70,2528,39.08,13,160,0.890,0.00,0.00,,,109.40,1032,50.00,36.5,38.5,6.10,4.47,43.50,1.05,8.20,269
1802,88.0,82.0,0.822,0.863,81.5,80.0,13.70,2579,40.19,14,160,0.886,0.00,0.00,,,109.40,1032,50.00,38.5,39.0,6.40,4.74,44.12,1.09,8.59,269
1880,88.0,82.5,0.836,0.877,82.5,80.0,13.70,2566,41.30,14,160,0.888,0.00,0.00,,,109.40,1032,50.00,37.5,39.0,6.32,4.74,44.12,1.09,8.59,269
1961,88.0,83.0,0.829,0.877,82.0,82.0,13.70,2579,42.03,14,160,0.888,0.00,0.00,,,109.40,1032,50.00,38.0,39.0,6.40,4.60,44.12,1.09,8.59,269
2043,88.0,83.0,0.842,0.884,82.0,82.5,13.70,2581,42.03,14,160,0.886,0.00,0.00,,,109.40,1032,50.00,38.0,39.0,6.41,4.56,44.12,1.09,8.98,269
2121,88.0,83.0,0.842,0.890,83.5,83.5,13.70,2597,42.03,15,160,0.886,0.00,0.00,,,109.40,1032,50.00,38.5,39.5,6.42,4.61,44.12,1.11,8.98,269
2203,88.0,83.0,0.842,0.897,83.5,84.0,13.70,2596,42.40,14,160,0.886,0.00,0.00,,,109.40,1032,50.00,38.5,39.5,6.41,4.58,44.12,1.09,8.98,269
