RPM,MAP,VE New Rear,VE New Front
4043,67.9,111.5,111.0
2048,101.1,110.5,113.5
3610,17.7,110.5,105.5
3421,17.7,110.5,86.5
3985,97.4,109.5,111.5
3405,17.3,109.5,93.0
3980,97.0,109.0,111.5
3416,17.7,109.0,107.5
4157,53.5,109.0,104.0
3891,17.7,109.0,86.0
4001,97.4,108.5,110.5
3519,17.7,108.5,87.0
4524,61.2,108.0,108.5
4349,16.2,107.5,112.0
4153,95.9,107.5,107.5
4141,95.5,107.5,106.5
3528,17.7,107.5,106.5
4312,96.3,107.5,106.0
3401,17.7,107.5,86.0
4081,70.8,107.0,111.0
3766,95.2,107.0,105.0
3306,19.5,107.0,100.0
3086,37.6,107.0,94.5
3451,17.7,107.0,87.0
4088,50.5,106.5,111.0
3116,18.1,106.5,107.5
3342,17.7,106.5,106.0
4052,97.0,106.5,105.5
4020,95.5,106.5,105.5
4573,98.1,106.5,103.5
4013,97.0,106.0,109.5
4005,96.7,106.0,105.5
3954,97.0,106.0,105.5
3945,96.7,106.0,105.5
3277,18.1,106.0,105.5
3907,18.4,106.0,105.0
4462,97.4,106.0,104.5
4003,95.9,106.0,104.5
4630,98.1,106.0,103.5
1701,90.0,105.5,113.0
4088,59.8,105.5,111.0
4134,97.4,105.5,108.0
4219,95.5,105.5,106.0
3503,18.8,105.5,97.0
4052,69.3,105.0,113.0
3837,57.2,105.0,107.5
4555,97.8,105.0,104.0
3988,95.5,105.0,103.0
4550,97.8,105.0,102.0
3229,17.3,105.0,101.5
3439,17.7,105.0,101.0
3343,18.1,105.0,86.5
4123,72.7,104.5,113.0
3945,69.3,104.5,110.5
4100,97.0,104.5,107.5
3461,18.1,104.5,107.5
4076,97.0,104.5,105.5
4044,95.5,104.5,104.5
4597,98.1,104.5,103.5
3338,17.7,104.5,101.5
3139,18.1,104.5,95.0
3252,19.2,104.5,93.5
3294,20.6,104.5,83.5
3984,68.6,104.0,114.0
4023,94.1,104.0,111.5
3844,65.3,104.0,111.0
3964,95.2,104.0,107.5
4171,95.2,104.0,107.0
2970,19.2,104.0,106.0
2877,18.1,104.0,106.0
2852,17.7,104.0,106.0
3968,95.2,104.0,104.5
4434,97.0,104.0,104.0
4501,97.8,104.0,103.0
4496,97.4,104.0,102.5
4456,97.0,104.0,101.5
3252,18.4,104.0,100.5
3279,17.7,104.0,86.0
2879,16.9,104.0,83.0
4078,69.0,103.5,113.0
4100,70.5,103.5,112.0
4148,93.3,103.5,104.5
3979,95.9,103.5,103.5
4411,96.7,103.5,102.0
4393,96.3,103.5,102.0
4058,69.0,103.0,113.0
4060,69.3,103.0,112.0
3961,69.0,103.0,112.0
3855,67.9,103.0,112.0
3546,16.9,103.0,111.0
4039,67.5,103.0,109.0
3856,56.4,103.0,108.5
3867,56.1,103.0,108.0
3835,59.0,103.0,107.5
3814,61.6,103.0,107.0
4194,95.5,103.0,104.0
4402,96.3,103.0,103.0
3897,93.3,103.0,102.0
2482,99.6,103.0,96.5
3127,19.2,103.0,84.5
3265,19.9,103.0,83.5
3430,19.9,103.0,82.5
2725,17.3,103.0,82.5
4062,70.1,102.5,109.0
3848,57.5,102.5,108.5
3830,60.5,102.5,108.5
2898,18.8,102.5,108.5
3940,55.3,102.5,107.0
4136,93.3,102.5,105.0
4368,79.3,102.5,103.5
3923,94.8,102.5,103.0
4357,93.0,102.5,102.5
4194,95.5,102.5,102.5
3942,95.2,102.5,102.5
3942,95.2,102.5,101.5
4566,96.7,102.5,101.0
3205,19.9,102.5,89.5
2725,17.7,102.5,82.5
4025,68.6,102.0,113.5
3819,61.2,102.0,108.0
3736,18.1,102.0,107.5
3805,62.0,102.0,107.0
3859,56.4,102.0,106.5
3899,94.8,102.0,105.0
4179,35.4,102.0,103.0
4638,85.2,102.0,102.0
3916,94.4,102.0,102.0
4340,91.9,102.0,101.0
4042,59.8,101.5,113.5
3984,68.6,101.5,112.0
3895,66.8,101.5,111.5
4046,73.8,101.5,110.0
4140,73.4,101.5,109.5
4159,75.2,101.5,109.0
4152,72.3,101.5,109.0
3874,56.1,101.5,108.0
3927,55.3,101.5,107.0
4176,95.2,101.5,106.0
4208,80.4,101.5,104.0
4320,90.4,101.5,103.5
3911,93.3,101.5,101.5
3872,89.3,101.5,100.5
2950,19.2,101.5,93.5
2744,18.8,101.5,84.0
3077,20.6,101.5,83.5
3186,21.0,101.5,83.0
3002,18.1,101.5,83.0
2775,16.9,101.5,82.5
2757,17.7,101.5,82.5
3916,68.2,101.0,112.5
4090,69.3,101.0,111.5
3999,55.3,101.0,110.5
3888,55.7,101.0,108.0
3757,67.1,101.0,107.5
4258,77.5,101.0,106.5
3913,55.3,101.0,106.5
2746,19.2,101.0,106.5
3883,94.8,101.0,106.0
4043,94.8,101.0,105.0
4111,91.1,101.0,102.5
3768,90.4,101.0,99.5
3633,17.7,101.0,91.5
3617,17.3,101.0,84.5
4004,71.6,100.5,113.0
4004,68.6,100.5,113.0
3934,68.6,100.5,110.0
3926,69.0,100.5,110.0
3875,66.4,100.5,110.0
4023,68.6,100.5,109.5
3961,71.9,100.5,109.5
3859,64.5,100.5,109.5
3827,65.3,100.5,109.0
2979,19.5,100.5,108.5
3039,18.8,100.5,107.5
3935,55.7,100.5,107.0
3800,62.0,100.5,106.5
3763,63.8,100.5,106.5
4073,88.9,100.5,102.5
4230,82.6,100.5,102.0
4472,80.8,100.5,101.0
2895,21.0,100.5,100.0
3651,91.5,100.5,98.5
3335,18.1,100.5,97.5
2892,18.1,100.5,97.0
3048,18.1,100.5,96.0
3193,17.7,100.5,95.5
1868,93.0,100.0,127.5
4023,69.0,100.0,114.0
4077,67.5,100.0,112.5
