RPM,MAP,Spark Knock R,Spark Knock F
3767,83,0.00,4.25
3807,83,0.00,4.25
3820,83,0.00,4.25
3868,83,0.00,4.25
4013,73,0.00,4.25
4019,73,0.00,4.25
4044,54,0.00,4.25
3585,79,0.00,4.00
3623,79,0.00,4.00
3662,79,0.00,4.00
3694,80,0.00,4.00
3729,80,0.00,4.00
3889,83,0.00,3.75
3933,83,0.00,3.75
3961,83,0.00,3.75
3818,29,0.00,3.50
3708,24,0.00,3.50
3623,20,0.00,3.50
3830,29,0.00,3.50
3786,24,0.00,3.50
3685,20,0.00,3.50
3518,18,0.00,3.50
3356,18,0.00,3.50
3197,18,0.00,3.50
3039,22,0.00,3.50
3138,52,0.00,3.00
3190,56,0.00,3.00
3104,52,0.00,3.00
3111,53,0.00,3.00
3276,73,0.00,3.00
3294,73,0.00,3.00
3311,72,0.00,3.00
3318,73,0.00,3.00
3338,73,0.00,3.00
3350,73,0.00,3.00
3362,72,0.00,3.00
3371,72,0.00,3.00
3384,71,0.00,3.00
3455,18,0.00,2.75
3260,18,0.00,2.75
3058,33,0.00,2.75
3252,45,0.00,2.75
3214,57,0.00,2.75
3216,54,0.00,2.75
3196,32,0.00,2.75
3196,35,0.00,2.75
3088,41,0.00,2.75
3146,49,0.00,2.75
3387,71,0.00,2.75
3404,70,0.00,2.75
3416,70,0.00,2.75
3422,71,0.00,2.75
3427,71,0.00,2.75
3438,73,0.00,2.75
3163,58,0.00,2.50
3194,58,0.00,2.50
3186,58,0.00,2.50
3199,58,0.00,2.50
3204,58,0.00,2.50
3226,53,0.00,2.50
3234,52,0.00,2.50
3234,51,0.00,2.50
3887,75,0.00,2.50
3901,75,0.00,2.50
3930,74,0.00,2.50
3947,74,0.00,2.50
3969,74,0.00,2.50
3988,73,0.00,2.50
3098,53,0.00,2.50
3104,55,0.00,2.50
3095,58,0.00,2.50
3113,60,0.00,2.50
3109,61,0.00,2.50
3108,60,0.00,2.50
3111,60,0.00,2.50
3109,60,0.00,2.50
3111,60,0.00,2.50
3104,60,0.00,2.50
3446,76,0.00,2.50
3457,78,0.00,2.50
3463,80,0.00,2.50
3475,82,0.00,2.50
3495,83,0.00,2.50
3500,86,0.00,2.50
3107,60,0.00,2.25
3108,60,0.00,2.25
3113,61,0.00,2.25
3519,88,0.00,2.25
3520,88,0.00,2.25
3542,88,0.00,2.25
3556,89,0.00,2.25
3570,89,0.00,2.25
3589,89,0.00,2.25
3594,89,0.00,2.25
3544,79,0.00,2.00
3571,79,0.00,2.00
3592,79,0.00,2.00
3634,78,0.00,2.00
3650,78,0.00,2.00
3691,78,0.00,2.00
3707,77,0.00,2.00
3745,76,0.00,2.00
3765,75,0.00,2.00
3799,75,0.00,2.00
3897,74,0.00,2.00
3920,66,0.00,2.00
1214,51,0.00,2.00
1426,37,0.00,2.00
1503,31,0.00,2.00
1463,28,0.00,2.00
1385,29,0.00,2.00
3359,72,0.00,2.00
3398,73,0.00,2.00
3426,76,0.00,2.00
3452,78,0.00,2.00
3481,80,0.00,2.00
3521,79,0.00,2.00
3531,79,0.00,2.00
3565,79,0.00,2.00
3234,46,0.00,2.00
3234,43,0.00,2.00
3243,42,0.00,2.00
4209,62,0.00,2.00
4242,63,0.00,2.00
4286,64,0.00,2.00
4326,65,0.00,2.00
4370,68,0.00,2.00
4417,67,0.00,2.00
3123,60,0.00,2.00
3129,59,0.00,2.00
3149,59,0.00,2.00
3125,60,0.00,2.00
3124,60,0.00,2.00
3129,60,0.00,2.00
3615,89,0.00,2.00
3631,88,0.00,2.00
3650,89,0.00,2.00
3665,88,0.00,2.00
3682,69,0.00,2.00
3817,75,0.00,1.75
3850,75,0.00,1.75
3867,75,0.00,1.75
3727,25,0.00,1.75
3162,52,0.00,1.75
1358,37,0.00,1.75
1413,29,0.00,1.75
1360,28,0.00,1.75
1331,29,0.00,1.75
1308,30,0.00,1.75
1333,29,0.00,1.75
4166,24,0.00,1.75
4066,21,0.00,1.75
3891,18,0.00,1.75
3717,18,0.00,1.75
3596,18,0.00,1.75
3367,24,0.00,1.75
