RPM,MAP,VE New Rear,VE New Front,,,,,,,,,,,,,,,,
3068,54.58,85,87,,,,,,,,,,,,,,,,
3084,54.58,85,87,,,,,,,,,,,,,,,,
3097,54.21,85.5,88,,,,,,,,,,,,,,,,
3094,54.58,84.5,88.5,,,,,,,,,,,,,,,,
3093,54.21,84.5,88.5,,,,,,,,,,,,,,,,
3102,54.58,85,87,,,,,,,,,,,,,,,,
3112,54.21,84,87.5,,,,,,,,,,,,,,,,
3115,53.47,85,87.5,,,,,,,,,,,,,,,,
3120,53.84,85.5,88.5,,,,,,,,,,,,,,,,
3125,53.84,85,88,,,,,,,,,,,,,,,,
3132,53.1,84.5,88.5,,,,,,,,,,,,,,,,
3129,53.47,84.5,88.5,,,,,,,,,,,,,,,,
3148,53.1,84.5,89.5,,,,,,,,,,,,,,,,
3137,53.47,84.5,88,,,,,,,,,,,,,,,,
3147,52.73,84.5,89.5,,,,,,,,,,,,,,,,
3141,53.1,85,90,,,,,,,,,,,,,,,,
3155,52.73,84,89.5,,,,,,,,,,,,,,,,
3168,53.1,84.5,89.5,,,,,,,,,,,,,,,,
3163,53.47,84,90,,,,,,,,,,,,,,,,
3158,53.1,84.5,90,,,,,,,,,,,,,,,,
3181,52.73,84,89.5,,,,,,,,,,,,,,,,
3172,52.73,84.5,89.5,,,,,,,,,,,,,,,,
3181,52.37,84,90,,,,,,,,,,,,,,,,
3188,52.37,84,90,,,,,,,,,,,,,,,,
3195,52.37,83.5,89.5,,,,,,,,,,,,,,,,
3204,52.73,85,90.5,,,,,,,,,,,,,,,,
3190,50.15,83,89.5,,,,,,,,,,,,,,,,
3218,49.41,83,87.5,,,,,,,,,,,,,,,,
3207,49.78,84,90,,,,,,,,,,,,,,,,
3216,49.78,84,89.5,,,,,,,,,,,,,,,,
3218,49.78,83.5,89.5,,,,,,,,,,,,,,,,
3217,49.41,82.5,88.5,,,,,,,,,,,,,,,,
3234,49.78,83,89,,,,,,,,,,,,,,,,
3230,49.04,84,89.5,,,,,,,,,,,,,,,,
3244,49.04,84,89.5,,,,,,,,,,,,,,,,
3237,49.04,83.5,89.5,,,,,,,,,,,,,,,,
3251,48.68,81.5,88.5,,,,,,,,,,,,,,,,
3259,49.04,82.5,90,,,,,,,,,,,,,,,,
3263,49.04,83,90,,,,,,,,,,,,,,,,
3274,50.15,83.5,89.5,,,,,,,,,,,,,,,,
