RPM,MAP,Spark Knock R,Spark Knock F,
3051,38.71,0,0,
3053,38.71,0,0,
3069,38.71,0,0,
3077,38.71,0,0,
3098,39.45,0,0,
3104,39.82,0,0,
3122,39.82,0,0,
3132,39.82,0,0,
3140,40.19,0,0,
3155,40.56,0,0,
3185,42.03,0,0,
3202,43.14,0,0,
3221,44.62,0,0,
3247,44.99,0,0,
3271,44.62,0,0,
3286,44.62,0,0,
3314,46.09,0,0,
3344,47.57,0,0,
3368,48.68,0,0,
3402,49.41,0,0,
3421,50.15,0,0,
3453,50.15,0,0,
3480,49.78,0,0,
3512,49.04,0,0,
3542,49.04,0,0,
3588,52,0,0,
3604,52.37,0,0,
3640,52.37,0,0,
3665,51.63,0,0,
3699,51.63,0,0,
3739,50.89,0,0,
3760,50.15,0,0,
3797,50.52,0,0,
3827,50.52,0,0,
3861,50.52,0,0,
3881,50.15,0,0,
3920,49.78,0,0,
3954,49.04,0,0,
3977,49.78,0,0,
4023,49.04,0,0,
4052,48.68,0,0,
4079,48.31,0,0,
4122,48.31,0,0,
4146,47.57,0,0,
4189,47.57,0,0,
4209,37.24,0,0,
3979,18.42,0,0,
3785,17.31,0,0,
3644,16.94,0,0,
3449,16.57,0,0,
3250,18.05,0,0,
3072,36.5,0,0,
3172,49.41,0,0,
3146,58.27,0,0,
3190,62.7,0,0,
3206,64.54,0,0,
3229,66.02,0,0,
3261,65.65,0,0,
3282,65.65,0,0,
3302,65.65,0,0,
3334,64.91,0,0,
3352,64.91,0,0,
3380,64.54,0,0,
3404,63.44,0,0,
3430,63.07,0,0,
3450,62.7,0,0,
3479,62.7,0,0,
3501,62.33,0,0,
3522,62.33,0,0,
3549,61.59,0,0,
3568,61.59,0,0,
3597,61.96,0,0,
3617,60.85,0,0,
3633,60.48,0,0,
3658,60.48,0,0,
3680,60.11,0,0,
3701,60.85,0,0,
3717,60.48,0,0,
3742,60.11,2,0,
3768,59.38,2,0,
3796,59.38,2,0,
3807,59.01,2,0,
3837,58.64,2,0,
3857,58.64,2,0,
3880,58.64,2,0,
3906,57.16,2,0,
3926,57.9,1.75,0,
3946,57.9,1.75,0,
3964,58.27,1.75,0,
3988,57.53,1.75,0,
4001,57.16,2,0,
4025,56.79,2,0,
4038,56.42,1.75,0,
4062,56.42,1.75,0,
4077,56.79,1.75,0,
4104,56.42,1.75,0,
4119,56.42,3.75,0,
4148,57.16,3.75,0,
4158,56.79,3.75,0,
4177,57.16,3.75,0,
4192,56.79,3.75,0,
4214,56.42,3.75,0,
4225,56.42,3.75,0,
4246,56.42,3.75,0,
4260,56.79,3.75,0,
4280,56.42,3,0,
4296,56.79,3,0,
4320,56.42,3.25,0,
4335,56.06,3.25,0,
4353,55.69,3.25,0,
4369,54.95,3.25,0,
4393,55.32,3.25,0,
4405,55.32,2.75,0,
4425,54.95,2.75,0,
4443,55.32,2.75,0,
4456,54.95,2.75,0,
4471,54.95,2.75,0,
4484,55.32,2.75,0,
4501,54.58,2.5,0,
4520,54.58,2.75,0,
4535,54.95,2.75,0,
4555,54.21,2.75,0,
4573,56.06,2.75,0,
4582,55.69,2.75,0,
4601,56.06,2.25,0,
4613,56.06,2.25,0,
4631,56.06,2.25,0,
4641,55.69,2.25,0,
4658,56.06,2.25,0,
4679,55.32,2.25,0,
4696,57.16,2,0,
4705,57.16,2,0,
4725,57.16,2,0,
4739,57.16,2,0,
4755,57.16,2,0,
4772,61.59,2,0,
4786,63.07,1.75,0,
4806,62.7,1.75,0,
4818,62.7,1.75,0,
4842,63.44,1.75,2,
4857,63.07,1.75,2,
4872,62.7,1.75,2,
4880,62.33,1.75,2,
4907,61.96,1.5,2,
4923,61.59,1.5,2,
4943,63.07,1.5,2,
4964,64.91,1.5,2,
4980,66.76,1.5,2,
4999,67.5,1.5,1.75,
5020,68.6,1.5,1.75,
5038,68.23,1.5,1.75,
5060,68.23,3.5,2,
5080,71.55,3.5,2,
5102,73.03,3.5,2,
5118,71.55,3.5,1.75,
5146,71.18,3.5,1.75,
5159,72.66,3.5,1.75,
5177,55.32,3.5,1.75,
4867,25.06,2.75,1.5,
4691,20.63,2.75,1.5,
4475,17.68,2.75,1.25,
4323,16.57,2.25,1.25,
4003,43.88,2.25,1.25,
4126,49.41,2.25,1.25,
4195,59.01,3,1.5,
4144,65.65,3,1.5,
4165,66.76,3.25,1.25,
4168,67.86,2.75,1.25,
4184,68.23,2.75,1.25,
4195,68.6,2.75,1.25,
4217,75.98,2.75,1.25,
4230,77.46,2.75,1.25,
4245,77.46,2.75,1.25,
4260,77.83,2.75,1,
4274,78.93,2.5,1,
4293,80.04,2.5,1,
4305,82.62,2.5,1,
4320,85.21,2.5,1,
4350,85.58,2.5,1,
4350,87.42,2.5,0.75,
4378,88.16,2.25,0.75,
4394,87.79,2.25,0.75,
4407,88.53,2.25,0.75,
4429,87.79,2.25,0.75,
4443,87.79,2.25,0.75,
4467,87.42,2.25,0.75,
4477,88.53,2.25,0.75,
4493,87.05,2,0.75,
4516,87.05,2,0.75,
4525,87.42,2,0.75,
4544,87.05,2,0.75,
4567,87.05,2,0.75,
4577,86.31,2,0.5,
4596,86.68,1.75,0.5,
4613,86.68,1.75,0.5,
4626,86.68,1.75,0.5,
4645,88.16,1.75,0.5,
4647,88.53,1.75,0.5,
4677,88.9,1.75,0.5,
4707,89.27,1.5,0.5,
4702,89.27,1.5,0.5,
4633,47.94,0.5,0.5,
4407,16.57,0.5,0.25,
4612,16.2,0.5,0.25,
4562,15.84,0.5,0,
4535,15.47,0.5,0,
4504,15.47,0.5,0,
4483,15.1,0.5,0,
4463,15.1,0.5,0,
4449,15.1,0.5,0,
4422,15.1,0.5,0,
4398,14.73,0.5,0,
4371,14.73,0.25,0,
4365,14.73,0.25,0,
4352,14.73,0.25,0,
4322,14.73,0.25,0,
4296,14.73,0.25,0,
4269,14.73,0.25,0,
4251,15.1,0.25,0,
4239,15.1,0.25,0,
4221,14.73,0.25,0,
4199,15.1,0.25,0,
4174,15.1,0.25,0,
4151,15.47,0.25,0,
4131,15.1,0.25,0,
4113,15.47,0,0,
4096,15.1,0,0,
4073,15.47,0,0,
4049,15.47,0,0,
4030,15.47,0,0,
4017,15.47,0,0,
4000,15.47,0,0,
3982,15.47,0,0,
3961,15.47,0,0,
3946,15.47,0,0,
3918,15.47,0,0,
3899,15.47,0,0,
3884,15.47,0,0,
3870,15.1,0,0,
3848,15.1,0,0,
3832,15.1,0,0,
3814,15.1,0,0,
3802,15.1,0,0,
3772,15.1,0,0,
3764,15.1,0,0,
3740,15.1,0,0,
3720,15.1,0,0,
3698,15.1,0,0,
3695,15.1,0,0,
3668,17.31,0,0,
3691,21.37,0,0,
3607,23.22,0,0,
3653,22.85,0,0,
3624,24.32,0,0,
3622,25.06,0,0,
3622,25.43,0,0,
3591,25.8,0,0,
3588,26.54,0,0,
3601,26.17,0,0,
3587,26.17,0,0,
3582,26.54,0,0,
3539,26.9,0,0,
3513,26.9,0,0,
3538,26.9,0,0,
3534,26.9,0,0,
3521,26.9,0,0,
3484,26.9,0,0,
3493,26.9,0,0,
3484,27.27,0,0,
3485,26.9,0,0,
3471,27.27,0,0,
3472,27.64,0,0,
3469,28.75,0,0,
3457,30.96,0,0,
3451,31.33,0,0,
3432,31.7,0,0,
3447,30.6,0,0,
3427,31.33,0,0,
3441,30.6,0,0,
3433,30.6,0,0,
3420,30.96,0,0,
3418,30.6,0,0,
3407,29.12,0,0,
3400,28.38,0,0,
3391,28.38,0,0,
3403,28.01,0,0,
3375,28.01,0,0,
3379,28.01,0,0,
3377,28.38,0,0,
3367,28.38,0,0,
3362,28.38,0,0,
3352,28.75,0,0,
3344,28.38,0,0,
3343,28.38,0,0,
3342,28.75,0,0,
3342,28.75,0,0,
3324,28.75,0,0,
3311,28.75,0,0,
3329,28.38,0,0,
3309,28.75,0,0,
3311,28.38,0,0,
3306,28.75,0,0,
3300,28.38,0,0,
3295,29.12,0,0,
3303,28.75,0,0,
3284,28.38,0,0,
3238,21.74,0,0,
3167,21.37,0,0,
3280,21,0,0,
3218,21,0,0,
3235,21,0,0,
3187,21.37,0,0,
3210,20.63,0,0,
3168,20.26,0,0,
3158,19.16,0,0,
3162,18.79,0,0,
3159,18.05,0,0,
3149,17.68,0,0,
3140,17.68,0,0,
3106,17.68,0,0,
3111,17.31,0,0,
3081,16.94,0,0,
3077,16.57,0,0,
3055,16.2,0,0,
